@relation whatever

@attribute obs_lon numeric
@attribute velocity_U numeric
@attribute velocity_V numeric
@attribute wind_U numeric
@attribute wind_V numeric


@data
0.01472 , 0.2326 , 0.0307 , 2.8799 , -7.6333
0.01375 , 0.1895 , 0.1293 , 2.8728 , -7.6836
0.01003 , 0.1458 , 0.2283 , 2.8530 , -7.7522
0.00519 , 0.0986 , 0.3233 , 2.8314 , -7.8226
0.00066 , -0.0017 , 0.2419 , 2.4769 , -8.0947
-0.00489 , -0.1030 , 0.1596 , 2.1251 , -8.3734
-0.00885 , -0.2007 , 0.0775 , 1.7659 , -8.6625
-0.00968 , -0.1759 , -0.0168 , 1.4997 , -8.3995
-0.00851 , -0.1509 , -0.1133 , 1.2329 , -8.1240
-0.00461 , -0.1273 , -0.2073 , 0.9645 , -7.8628
0.0013 , -0.0226 , -0.1421 , 0.7017 , -7.5914
0.00628 , 0.0835 , -0.0714 , 0.4413 , -7.3219
0.01105 , 0.1934 , 0.0087 , 0.1809 , -7.0551
0.01173 , 0.1669 , 0.0862 , -0.0651 , -6.7609
0.00951 , 0.1423 , 0.1685 , -0.3142 , -6.4807
0.00658 , 0.1190 , 0.2494 , -0.5607 , -6.2010
0.00258 , 0.0141 , 0.1605 , -0.8064 , -5.9183
-0.00252 , -0.0927 , 0.0745 , -1.0627 , -5.6456
-0.00685 , -0.1994 , -0.0136 , -1.3133 , -5.3809
-0.00912 , -0.1755 , -0.1000 , -1.5721 , -5.1315
-0.00675 , -0.1488 , -0.1821 , -1.8404 , -4.8982
-0.00534 , -0.1203 , -0.2613 , -2.0913 , -4.6587
-0.00086 , -0.0119 , -0.1585 , -1.8428 , -4.4626
0.00566 , 0.0913 , -0.0543 , -1.5829 , -4.2652
0.00938 , 0.1950 , 0.0507 , -1.3235 , -4.0494
0.01105 , 0.1772 , 0.1549 , -1.4672 , -4.1601
0.0103 , 0.1591 , 0.2594 , -1.6155 , -4.2659
0.00566 , 0.1409 , 0.3643 , -1.7684 , -4.3669
-0.00083 , 0.0354 , 0.2849 , -2.0420 , -4.4551
-0.00745 , -0.0743 , 0.2062 , -2.2885 , -4.5637
-0.01218 , -0.1870 , 0.1273 , -2.5613 , -4.6580
-0.01404 , -0.1834 , 0.0087 , -2.5992 , -4.4988
-0.01401 , -0.1744 , -0.1074 , -2.6435 , -4.3337
-0.01046 , -0.1643 , -0.2237 , -2.6921 , -4.1631
-0.00686 , -0.0626 , -0.1690 , -2.7460 , -3.9903
0.00082 , 0.0389 , -0.1129 , -2.7920 , -3.8153
0.00689 , 0.1401 , -0.0533 , -2.8479 , -3.6481
0.01149 , 0.1452 , 0.0403 , -2.8927 , -3.4808
0.01342 , 0.1509 , 0.1318 , -2.9300 , -3.3130
0.00988 , 0.1570 , 0.2238 , -2.9747 , -3.1523
0.00473 , 0.0479 , 0.1504 , -3.0123 , -2.9852
-0.00222 , -0.0612 , 0.0778 , -3.0506 , -2.8161
-0.00857 , -0.1705 , 0.0054 , -3.0899 , -2.6486
-0.0123 , -0.1638 , -0.0970 , -3.1118 , -2.4601
-0.01379 , -0.1576 , -0.1998 , -3.1280 , -2.2735
-0.01255 , -0.1521 , -0.3025 , -3.1497 , -2.0975
-0.01032 , -0.0493 , -0.2110 , -3.4795 , -1.3942
-0.00703 , 0.0517 , -0.1174 , -3.8460 , -0.7117
-0.00278 , 0.1513 , -0.0224 , -4.2338 , -0.0437
0.00075 , 0.1654 , 0.1063 , -3.9064 , 0.4531
0.00138 , 0.1797 , 0.2312 , -3.5852 , 1.0048
-0.00076 , 0.1939 , 0.3569 , -3.2463 , 1.5372
-0.00131 , 0.0818 , 0.2984 , -2.8529 , 1.0880
-0.00213 , -0.0312 , 0.2436 , -2.4610 , 0.6787
-0.00623 , -0.1450 , 0.1933 , -2.0703 , 0.3093
-0.00851 , -0.1588 , 0.0606 , -2.4689 , 0.4921
-0.01029 , -0.1721 , -0.0707 , -2.8762 , 0.6774
-0.01005 , -0.1848 , -0.2029 , -3.2978 , 0.8326
-0.00819 , -0.0891 , -0.1823 , -3.7126 , 0.9857
-0.00408 , 0.0051 , -0.1630 , -4.1272 , 1.1086
