@relation whatever

@attribute obs_lat numeric
@attribute model_lon numeric
@attribute model_lat numeric
@attribute velocity_U numeric
@attribute velocity_V numeric
@attribute wind_U numeric
@attribute wind_V numeric


@data
-0.00281 , -0.00732 , -0.004032 , -0.0972 , -0.2248 , -2.6969 , 2.0327
-0.0028 , -0.005736 , -0.0032 , -0.0063 , -0.1183 , -3.4135 , 2.0351
0.00145 , -0.003197 , 0.000422 , 0.0907 , -0.0103 , -4.1103 , 2.0470
0.00602 , -0.000177 , 0.004004 , 0.2022 , 0.1056 , -4.7522 , 2.1010
0.0121 , 0.000901 , 0.006932 , 0.1969 , 0.1787 , -5.2772 , 2.1692
0.01594 , -0.000109 , 0.009405 , 0.2003 , 0.2501 , -5.8076 , 2.2290
0.01084 , -0.000152 , 0.011569 , 0.2130 , 0.3197 , -6.3471 , 2.2912
0.00694 , -0.003206 , 0.009401 , 0.0987 , 0.1965 , -6.9039 , 2.3413
0.00514 , -0.009168 , 0.004831 , -0.0238 , 0.0681 , -7.4778 , 2.3792
0.0063 , -0.017486 , 0.003353 , -0.2200 , 0.0050 , -8.1480 , 2.4275
0.00129 , -0.01965 , 0.001943 , -0.1910 , -0.0141 , -8.8280 , 2.4815
-0.00274 , -0.018053 , -0.003724 , -0.1157 , -0.2265 , -9.5027 , 2.5506
-0.0063 , -0.019681 , -0.007792 , -0.1681 , -0.3977 , -10.0804 , 2.6067
-0.00375 , -0.019375 , -0.006404 , -0.1067 , -0.2712 , -10.5974 , 2.6776
-0.00204 , -0.016219 , -0.003173 , -0.0030 , -0.1622 , -11.0911 , 2.7686
0.00135 , -0.012999 , 0.000177 , 0.0845 , -0.0832 , -11.5548 , 2.8379
0.00386 , -0.010464 , 0.005115 , 0.1107 , 0.1121 , -11.4405 , 3.5425
0.00317 , -0.011338 , 0.006459 , 0.1422 , 0.0642 , -11.3247 , 4.2340
0.01107 , -0.014645 , 0.008524 , 0.0034 , 0.2878 , -11.1890 , 4.9304
0.01669 , -0.014202 , 0.012319 , -0.0380 , 0.2116 , -10.3494 , 5.2977
0.01838 , -0.015486 , 0.013034 , -0.1079 , 0.2127 , -9.5897 , 5.5668
0.01474 , -0.018611 , 0.013658 , -0.2119 , 0.2365 , -8.7951 , 5.8801
0.00858 , -0.020053 , 0.011354 , -0.2332 , 0.1071 , -8.3760 , 6.1301
0.00407 , -0.020351 , 0.007566 , -0.2587 , -0.0139 , -7.8670 , 6.3351
7E-05 , -0.020065 , 0.003787 , -0.2825 , -0.1387 , -7.2616 , 6.4789
-0.00337 , -0.016968 , 0.002372 , -0.1673 , -0.1058 , -7.1116 , 5.6981
-0.00548 , -0.01259 , 0.002328 , -0.0596 , -0.0838 , -6.9776 , 4.9524
-0.00507 , -0.009017 , 0.001977 , 0.0474 , -0.0716 , -6.8550 , 4.2038
-0.00167 , -0.004903 , 0.003469 , 0.1182 , 0.0410 , -6.8151 , 3.4330
