@relation whatever

@attribute obs_lon numeric
@attribute velocity_U numeric
@attribute velocity_V numeric
@attribute wind_U numeric
@attribute wind_V numeric


@data
-0.00949 , -0.0972 , -0.2248 , -2.6969 , 2.0327
-0.00984 , -0.0063 , -0.1183 , -3.4135 , 2.0351
-0.00825 , 0.0907 , -0.0103 , -4.1103 , 2.0470
-0.00327 , 0.2022 , 0.1056 , -4.7522 , 2.1010
0.00102 , 0.1969 , 0.1787 , -5.2772 , 2.1692
0.00039 , 0.2003 , 0.2501 , -5.8076 , 2.2290
-0.00123 , 0.2130 , 0.3197 , -6.3471 , 2.2912
-0.00925 , 0.0987 , 0.1965 , -6.9039 , 2.3413
-0.01524 , -0.0238 , 0.0681 , -7.4778 , 2.3792
-0.02046 , -0.2200 , 0.0050 , -8.1480 , 2.4275
-0.02248 , -0.1910 , -0.0141 , -8.8280 , 2.4815
-0.02568 , -0.1157 , -0.2265 , -9.5027 , 2.5506
-0.0242 , -0.1681 , -0.3977 , -10.0804 , 2.6067
-0.02082 , -0.1067 , -0.2712 , -10.5974 , 2.6776
-0.00729 , -0.0030 , -0.1622 , -11.0911 , 2.7686
-0.00092 , 0.0845 , -0.0832 , -11.5548 , 2.8379
-0.00512 , 0.1107 , 0.1121 , -11.4405 , 3.5425
-0.00994 , 0.1422 , 0.0642 , -11.3247 , 4.2340
-0.01013 , 0.0034 , 0.2878 , -11.1890 , 4.9304
-0.01156 , -0.0380 , 0.2116 , -10.3494 , 5.2977
-0.01583 , -0.1079 , 0.2127 , -9.5897 , 5.5668
-0.01825 , -0.2119 , 0.2365 , -8.7951 , 5.8801
-0.02124 , -0.2332 , 0.1071 , -8.3760 , 6.1301
-0.02572 , -0.2587 , -0.0139 , -7.8670 , 6.3351
-0.02339 , -0.2825 , -0.1387 , -7.2616 , 6.4789
-0.01904 , -0.1673 , -0.1058 , -7.1116 , 5.6981
-0.01177 , -0.0596 , -0.0838 , -6.9776 , 4.9524
-0.00462 , 0.0474 , -0.0716 , -6.8550 , 4.2038
0.00247 , 0.1182 , 0.0410 , -6.8151 , 3.4330
0.00512 , 0.1860 , 0.1509 , -6.7691 , 2.6948
0.00343 , 0.2554 , 0.2585 , -6.7549 , 1.9345
-0.00137 , 0.1461 , 0.2385 , -6.8067 , 1.1721
-0.00805 , 0.0325 , 0.2201 , -6.8776 , 0.4278
-0.01059 , -0.0838 , 0.2024 , -6.9128 , -0.3000
-0.01667 , -0.1606 , 0.0588 , -6.9513 , -1.0291
-0.02052 , -0.2362 , -0.0809 , -7.0016 , -1.7594
-0.02096 , -0.3106 , -0.2187 , -7.0242 , -2.4819
-0.01868 , -0.2083 , -0.2351 , -6.9515 , -3.2117
-0.01523 , -0.1096 , -0.2501 , -6.9458 , -3.9422
-0.01004 , -0.0122 , -0.2664 , -6.8102 , -4.7115
-0.00753 , 0.0814 , -0.1358 , -6.3361 , -4.6524
-0.00479 , 0.1739 , -0.0069 , -5.8681 , -4.5649
-0.00274 , 0.2634 , 0.1246 , -5.4595 , -4.4523
-0.00396 , 0.1690 , 0.1758 , -4.2789 , -4.4346
-0.00745 , 0.0745 , 0.2270 , -3.0983 , -4.4169
-0.01053 , -0.0200 , 0.2782 , -1.9178 , -4.3992
-0.01217 , -0.1030 , 0.1464 , -0.7389 , -5.2638
-0.01064 , -0.1889 , 0.0155 , 0.4970 , -6.1241
-0.01089 , -0.2751 , -0.1133 , 1.7188 , -6.9714
-0.01053 , -0.1926 , -0.1540 , 1.9886 , -7.0745
-0.00603 , -0.1104 , -0.1965 , 2.2523 , -7.1774
0.00101 , -0.0299 , -0.2415 , 2.5066 , -7.2778
0.00775 , 0.0776 , -0.1348 , 2.7746 , -7.3706
0.01302 , 0.1795 , -0.0244 , 2.9903 , -7.4696
0.01315 , 0.2789 , 0.0898 , 3.1894 , -7.5619
0.01125 , 0.1910 , 0.1366 , 3.3456 , -7.6574
0.00842 , 0.1048 , 0.1804 , 3.4560 , -7.7744
0.00854 , 0.0174 , 0.2239 , 3.5647 , -7.8823
0.00666 , -0.0745 , 0.0766 , 3.6487 , -8.0109
-0.00104 , -0.1662 , -0.0724 , 3.7281 , -8.1405
-0.0055 , -0.2582 , -0.2214 , 3.7849 , -8.2599
-0.00551 , -0.1939 , -0.2640 , 3.8258 , -8.3868
-0.00214 , -0.1282 , -0.3058 , 3.8318 , -8.4949
0.00722 , -0.0574 , -0.3429 , 3.8124 , -8.6070
0.0152 , 0.0659 , -0.1986 , 4.6714 , -8.4979
0.02015 , 0.1929 , -0.0610 , 5.5381 , -8.4459
0.02338 , 0.3184 , 0.0711 , 6.4369 , -8.4603
0.0221 , 0.2353 , 0.1429 , 6.5333 , -8.6907
0.01616 , 0.1329 , 0.2219 , 6.6501 , -8.8964
0.01261 , 0.0248 , 0.3009 , 6.7828 , -9.0611
0.0064 , -0.0804 , 0.1567 , 6.1521 , -9.5215
0.00226 , -0.1854 , 0.0107 , 5.5229 , -9.9929
-0.00103 , -0.2903 , -0.1362 , 4.8951 , -10.4482
-0.00263 , -0.2125 , -0.2009 , 4.7347 , -10.1929
-0.00229 , -0.1376 , -0.2651 , 4.5708 , -9.9216
