@relation whatever

@attribute obs_lon numeric
@attribute velocity_U numeric
@attribute velocity_V numeric
@attribute wind_U numeric
@attribute wind_V numeric


@data
-0.0063 , 0.1034 , -0.0407 , -6.4900 , 4.5058
0.00147 , 0.1685 , 0.0708 , -6.2776 , 3.7660
0.00509 , 0.2350 , 0.1849 , -6.0841 , 3.0093
0.00501 , 0.2972 , 0.3063 , -5.9221 , 2.2529
0.00191 , 0.1608 , 0.2548 , -5.8692 , 1.4622
-0.00366 , 0.0197 , 0.2094 , -5.8710 , 0.6687
-0.01091 , -0.1124 , 0.1665 , -5.8698 , -0.1063
-0.0194 , -0.1755 , 0.0076 , -5.7739 , -0.8647
-0.02404 , -0.2427 , -0.1590 , -5.6211 , -1.6459
-0.024 , -0.3361 , -0.2859 , -5.3762 , -2.4210
-0.01907 , -0.1780 , -0.2251 , -5.1465 , -3.2199
-0.01356 , -0.0005 , -0.2188 , -4.6824 , -3.9607
