@relation whatever

@attribute obs_lat numeric
@attribute velocity_U numeric
@attribute velocity_V numeric
@attribute wind_U numeric
@attribute wind_V numeric


@data
-0.00422 , 0.1034 , -0.0407 , -6.4900 , 4.5058
0.00259 , 0.1685 , 0.0708 , -6.2776 , 3.7660
0.00802 , 0.2350 , 0.1849 , -6.0841 , 3.0093
0.01274 , 0.2972 , 0.3063 , -5.9221 , 2.2529
0.01541 , 0.1608 , 0.2548 , -5.8692 , 1.4622
0.01459 , 0.0197 , 0.2094 , -5.8710 , 0.6687
0.00611 , -0.1124 , 0.1665 , -5.8698 , -0.1063
-9E-05 , -0.1755 , 0.0076 , -5.7739 , -0.8647
-0.0048 , -0.2427 , -0.1590 , -5.6211 , -1.6459
-0.00757 , -0.3361 , -0.2859 , -5.3762 , -2.4210
-0.01044 , -0.1780 , -0.2251 , -5.1465 , -3.2199
-0.0129 , -0.0005 , -0.2188 , -4.6824 , -3.9607
