@relation whatever

@attribute obs_lon numeric
@attribute model_lon numeric
@attribute model_lat numeric
@attribute velocity_U numeric
@attribute velocity_V numeric
@attribute wind_U numeric
@attribute wind_V numeric


@data
0.01204 , 0.008763 , -0.010451 , 0.0803 , -0.0282 , 2.8880 , -8.9336
0.00936 , 0.005521 , -0.007972 , 0.0071 , 0.0526 , 3.2653 , -9.0123
0.00571 , 0.003045 , -0.005587 , -0.0650 , 0.1292 , 3.6239 , -9.1089
0.00295 , 0.000845 , -0.00561 , -0.1254 , 0.0794 , 3.9763 , -9.2182
-0.00171 , -0.000244 , -0.007358 , -0.1853 , 0.0286 , 4.3210 , -9.3269
-0.00347 , -0.002697 , -0.009146 , -0.2452 , -0.0241 , 4.6505 , -9.4284
-0.0001 , -0.001067 , -0.011403 , -0.1826 , -0.0996 , 4.9761 , -9.5356
0.00401 , 0.002551 , -0.013858 , -0.1207 , -0.1728 , 5.2785 , -9.6345
0.0096 , 0.005415 , -0.01614 , -0.0590 , -0.2413 , 5.5453 , -9.7238
0.01464 , 0.007949 , -0.01537 , 0.0206 , -0.1754 , 5.7414 , -8.9645
0.01967 , 0.012335 , -0.012485 , 0.1007 , -0.1090 , 5.9981 , -8.2533
0.02124 , 0.014587 , -0.009601 , 0.1870 , -0.0367 , 6.3055 , -7.5990
0.01842 , 0.015726 , -0.006897 , 0.1345 , 0.0611 , 6.3368 , -8.2325
0.01454 , 0.012204 , -0.004393 , 0.0870 , 0.1591 , 6.3838 , -8.8731
0.00788 , 0.010816 , -0.00198 , 0.0289 , 0.2522 , 6.4166 , -9.4809
0.00065 , 0.007065 , -0.002217 , -0.0376 , 0.1958 , 5.8722 , -9.7796
-0.00483 , 0.004336 , -0.004381 , -0.1103 , 0.1377 , 5.3182 , -10.0673
-0.00679 , 0.000913 , -0.006599 , -0.1777 , 0.0775 , 4.7640 , -10.3434
-0.00912 , 0.001268 , -0.009044 , -0.1342 , -0.0077 , 4.6540 , -10.2116
-0.0061 , 0.003015 , -0.011606 , -0.0864 , -0.0911 , 4.5423 , -10.0677
-0.00167 , 0.004793 , -0.014109 , -0.0400 , -0.1714 , 4.4259 , -9.9267
0.00458 , 0.008399 , -0.014135 , 0.0533 , -0.1247 , 4.3062 , -9.7865
0.00816 , 0.01124 , -0.012319 , 0.1481 , -0.0727 , 4.1804 , -9.6346
0.01077 , 0.014657 , -0.010467 , 0.2379 , -0.0196 , 4.0458 , -9.4901
0.01223 , 0.014691 , -0.008159 , 0.1871 , 0.0597 , 3.8989 , -9.3485
0.01129 , 0.011591 , -0.005517 , 0.1332 , 0.1384 , 3.7451 , -9.2049
0.00671 , 0.008534 , -0.002992 , 0.0803 , 0.2131 , 3.6042 , -9.0706
0.00221 , 0.006173 , -0.003318 , -0.0073 , 0.1336 , 3.4735 , -8.9379
0.00027 , 0.002534 , -0.005666 , -0.0949 , 0.0562 , 3.3366 , -8.8102
-0.00203 , -0.001111 , -0.008119 , -0.1811 , -0.0210 , 3.2010 , -8.6924
-0.00109 , -0.001083 , -0.010407 , -0.1426 , -0.0930 , 3.0637 , -8.5767
0.00104 , 0.000213 , -0.012658 , -0.1053 , -0.1655 , 2.9118 , -8.4651
0.00424 , 0.002178 , -0.014838 , -0.0687 , -0.2351 , 2.7565 , -8.3578
0.00823 , 0.004334 , -0.013949 , 0.0321 , -0.1492 , 2.7631 , -8.1430
0.01207 , 0.008433 , -0.010843 , 0.1327 , -0.0611 , 2.8092 , -7.8983
0.01472 , 0.0125 , -0.007611 , 0.2326 , 0.0307 , 2.8799 , -7.6333
0.01375 , 0.012507 , -0.004428 , 0.1895 , 0.1293 , 2.8728 , -7.6836
0.01003 , 0.010021 , -0.001354 , 0.1458 , 0.2283 , 2.8530 , -7.7522
0.00519 , 0.008153 , 0.001655 , 0.0986 , 0.3233 , 2.8314 , -7.8226
0.00066 , 0.003992 , 0.001195 , -0.0017 , 0.2419 , 2.4769 , -8.0947
-0.00489 , 0.001027 , -0.001701 , -0.1030 , 0.1596 , 2.1251 , -8.3734
-0.00885 , -0.00406 , -0.004603 , -0.2007 , 0.0775 , 1.7659 , -8.6625
-0.00968 , -0.003987 , -0.007468 , -0.1759 , -0.0168 , 1.4997 , -8.3995
-0.00851 , -0.003315 , -0.010294 , -0.1509 , -0.1133 , 1.2329 , -8.1240
-0.00461 , -0.002704 , -0.013074 , -0.1273 , -0.2073 , 0.9645 , -7.8628
0.0013 , -0.000174 , -0.012787 , -0.0226 , -0.1421 , 0.7017 , -7.5914
0.00628 , 0.003837 , -0.010152 , 0.0835 , -0.0714 , 0.4413 , -7.3219
0.01105 , 0.007109 , -0.00751 , 0.1934 , 0.0087 , 0.1809 , -7.0551
0.01173 , 0.007958 , -0.004791 , 0.1669 , 0.0862 , -0.0651 , -6.7609
0.00951 , 0.006613 , -0.001976 , 0.1423 , 0.1685 , -0.3142 , -6.4807
0.00658 , 0.004651 , 0.000887 , 0.1190 , 0.2494 , -0.5607 , -6.2010
0.00258 , 0.000816 , 0.000568 , 0.0141 , 0.1605 , -0.8064 , -5.9183
-0.00252 , -0.002321 , -0.001973 , -0.0927 , 0.0745 , -1.0627 , -5.6456
-0.00685 , -0.006834 , -0.004522 , -0.1994 , -0.0136 , -1.3133 , -5.3809
-0.00912 , -0.008245 , -0.00705 , -0.1755 , -0.1000 , -1.5721 , -5.1315
-0.00675 , -0.006803 , -0.009448 , -0.1488 , -0.1821 , -1.8404 , -4.8982
-0.00534 , -0.00604 , -0.011779 , -0.1203 , -0.2613 , -2.0913 , -4.6587
-0.00086 , -0.002998 , -0.010432 , -0.0119 , -0.1585 , -1.8428 , -4.4626
0.00566 , 0.000756 , -0.006904 , 0.0913 , -0.0543 , -1.5829 , -4.2652
0.00938 , 0.004528 , -0.003308 , 0.1950 , 0.0507 , -1.3235 , -4.0494
0.01105 , 0.005907 , 0.00011 , 0.1772 , 0.1549 , -1.4672 , -4.1601
0.0103 , 0.005019 , 0.00336 , 0.1591 , 0.2594 , -1.6155 , -4.2659
0.00566 , 0.003405 , 0.006615 , 0.1409 , 0.3643 , -1.7684 , -4.3669
-0.00083 , -0.000385 , 0.006396 , 0.0354 , 0.2849 , -2.0420 , -4.4551
-0.00745 , -0.003685 , 0.003757 , -0.0743 , 0.2062 , -2.2885 , -4.5637
-0.01218 , -0.008559 , 0.001117 , -0.1870 , 0.1273 , -2.5613 , -4.6580
-0.01404 , -0.010523 , -0.00209 , -0.1834 , 0.0087 , -2.5992 , -4.4988
-0.01401 , -0.009472 , -0.005697 , -0.1744 , -0.1074 , -2.6435 , -4.3337
-0.01046 , -0.00839 , -0.009301 , -0.1643 , -0.2237 , -2.6921 , -4.1631
-0.00686 , -0.006643 , -0.009665 , -0.0626 , -0.1690 , -2.7460 , -3.9903
0.00082 , -0.001902 , -0.007672 , 0.0389 , -0.1129 , -2.7920 , -3.8153
0.00689 , 0.001371 , -0.005623 , 0.1401 , -0.0533 , -2.8479 , -3.6481
0.01149 , 0.002413 , -0.002914 , 0.1452 , 0.0403 , -2.8927 , -3.4808
0.01342 , 0.002609 , 0.000222 , 0.1509 , 0.1318 , -2.9300 , -3.3130
0.00988 , 0.002793 , 0.003338 , 0.1570 , 0.2238 , -2.9747 , -3.1523
0.00473 , -0.000426 , 0.003342 , 0.0479 , 0.1504 , -3.0123 , -2.9852
-0.00222 , -0.004116 , 0.001159 , -0.0612 , 0.0778 , -3.0506 , -2.8161
-0.00857 , -0.008507 , -0.000992 , -0.1705 , 0.0054 , -3.0899 , -2.6486
-0.0123 , -0.009459 , -0.00372 , -0.1638 , -0.0970 , -3.1118 , -2.4601
-0.01379 , -0.009234 , -0.00688 , -0.1576 , -0.1998 , -3.1280 , -2.2735
-0.01255 , -0.008287 , -0.010021 , -0.1521 , -0.3025 , -3.1497 , -2.0975
-0.01032 , -0.006791 , -0.009216 , -0.0493 , -0.2110 , -3.4795 , -1.3942
-0.00703 , -0.003188 , -0.005532 , 0.0517 , -0.1174 , -3.8460 , -0.7117
-0.00278 , 0.000362 , -0.001823 , 0.1513 , -0.0224 , -4.2338 , -0.0437
0.00075 , 0.000926 , 0.002396 , 0.1654 , 0.1063 , -3.9064 , 0.4531
0.00138 , 0.0019 , 0.006971 , 0.1797 , 0.2312 , -3.5852 , 1.0048
-0.00076 , 0.002194 , 0.011543 , 0.1939 , 0.3569 , -3.2463 , 1.5372
-0.00131 , 0.000281 , 0.012097 , 0.0818 , 0.2984 , -2.8529 , 1.0880
-0.00213 , -0.003784 , 0.009931 , -0.0312 , 0.2436 , -2.4610 , 0.6787
-0.00623 , -0.007151 , 0.007947 , -0.1450 , 0.1933 , -2.0703 , 0.3093
-0.00851 , -0.009462 , 0.004781 , -0.1588 , 0.0606 , -2.4689 , 0.4921
-0.01029 , -0.009757 , 0.000662 , -0.1721 , -0.0707 , -2.8762 , 0.6774
-0.01005 , -0.010772 , -0.003482 , -0.1848 , -0.2029 , -3.2978 , 0.8326
-0.00819 , -0.008524 , -0.004773 , -0.0891 , -0.1823 , -3.7126 , 0.9857
-0.00408 , -0.00525 , -0.004009 , 0.0051 , -0.1630 , -4.1272 , 1.1086
-0.00102 , -0.002756 , -0.003247 , 0.0978 , -0.1423 , -4.5361 , 1.2335
0.00254 , -0.000137 , -0.000952 , 0.1327 , -0.0418 , -4.9265 , 1.3780
0.00264 , -0.000653 , 0.00242 , 0.1675 , 0.0598 , -5.3314 , 1.4928
0.00048 , 0.00032 , 0.005786 , 0.2035 , 0.1587 , -5.7125 , 1.6609
-0.00513 , -0.001954 , 0.006556 , 0.0998 , 0.1205 , -6.0960 , 1.8151
-0.01104 , -0.006572 , 0.005525 , -0.0043 , 0.0842 , -6.4819 , 1.9663
-0.01608 , -0.011154 , 0.004558 , -0.1081 , 0.0500 , -6.8566 , 2.1105
-0.01943 , -0.012936 , 0.002117 , -0.1243 , -0.0625 , -7.2140 , 2.2431
-0.02045 , -0.014003 , -0.001393 , -0.1400 , -0.1746 , -7.5541 , 2.3563
-0.02043 , -0.01426 , -0.004989 , -0.1565 , -0.2856 , -7.9027 , 2.4711
-0.0177 , -0.012793 , -0.006741 , -0.0668 , -0.2355 , -8.4684 , 1.2834
-0.01356 , -0.010057 , -0.006287 , 0.0202 , -0.1855 , -9.0877 , 0.0900
-0.00764 , -0.007455 , -0.00581 , 0.1052 , -0.1345 , -9.7428 , -1.1175
-0.00188 , -0.005911 , -0.002818 , 0.1413 , 0.0063 , -10.2766 , -0.8672
0.00071 , -0.00655 , 0.001905 , 0.1773 , 0.1463 , -10.7929 , -0.6162
0.00055 , -0.00564 , 0.006582 , 0.2135 , 0.2819 , -11.2464 , -0.3544
-0.00406 , -0.007567 , 0.00829 , 0.1088 , 0.2731 , -11.0237 , -0.4813
-0.00859 , -0.012249 , 0.007958 , 0.0044 , 0.2667 , -10.8021 , -0.6151
-0.01164 , -0.015792 , 0.00794 , -0.1009 , 0.2649 , -10.5653 , -0.7630
-0.01581 , -0.018088 , 0.005567 , -0.1532 , 0.1428 , -9.7895 , -1.2082
-0.01808 , -0.01758 , 0.000864 , -0.1915 , 0.0187 , -9.0235 , -1.6558
-0.02012 , -0.017741 , -0.003874 , -0.2184 , -0.1119 , -8.2714 , -2.1029
-0.01881 , -0.013978 , -0.006791 , -0.1345 , -0.1456 , -7.5228 , -2.5532
-0.01357 , -0.010883 , -0.008373 , -0.0604 , -0.1820 , -6.8015 , -2.9829
-0.00731 , -0.006421 , -0.009891 , 0.0114 , -0.2163 , -6.0803 , -3.4072
-3E-05 , -0.002941 , -0.009171 , 0.0746 , -0.1339 , -5.3685 , -3.8216
0.00492 , -0.000331 , -0.006875 , 0.1371 , -0.0504 , -4.6528 , -4.2281
0.00566 , 0.003056 , -0.004565 , 0.2000 , 0.0329 , -3.9320 , -4.6270
0.00426 , 0.002456 , -0.003819 , 0.1240 , 0.0342 , -3.2058 , -5.0224
0.00019 , 0.001042 , -0.004225 , 0.0481 , 0.0330 , -2.4842 , -5.4261
-0.00277 , -0.001114 , -0.0047 , -0.0276 , 0.0303 , -1.7557 , -5.8231
-0.00521 , -0.002293 , -0.007308 , -0.0621 , -0.0850 , -1.0246 , -6.2188
