@relation whatever

@attribute obs_lat numeric
@attribute model_lon numeric
@attribute model_lat numeric
@attribute velocity_U numeric
@attribute velocity_V numeric
@attribute wind_U numeric
@attribute wind_V numeric


@data
-0.00729 , -0.008022 , -0.009689 , -0.0450 , -0.2270 , -4.3189 , -3.2863
-0.00834 , -0.003481 , -0.011301 , 0.0379 , -0.2513 , -4.1102 , -4.1881
-0.0069 , -0.000234 , -0.009906 , 0.0927 , -0.1452 , -3.7608 , -4.0627
-0.00194 , 0.001264 , -0.006463 , 0.1459 , -0.0394 , -3.5974 , -4.0101
0.00464 , 0.003063 , -0.003093 , 0.1969 , 0.0670 , -3.7812 , -4.0458
0.00928 , 0.001821 , -0.000981 , 0.1115 , 0.1168 , -2.6142 , -4.4463
0.01152 , -0.000283 , 0.000191 , 0.0253 , 0.1654 , -1.4841 , -4.8573
0.01118 , -0.002381 , 0.001367 , -0.0608 , 0.2139 , -0.3541 , -5.2683
0.00776 , -0.003657 , -0.000447 , -0.1110 , 0.1132 , 0.7631 , -5.9449
0.00217 , -0.003613 , -0.004364 , -0.1610 , 0.0130 , 1.8684 , -6.6375
-0.0035 , -0.0041 , -0.008308 , -0.2088 , -0.0891 , 3.0179 , -7.3102
-0.00679 , -0.001711 , -0.010771 , -0.1340 , -0.1278 , 3.1201 , -7.4393
-0.00859 , 0.001504 , -0.012149 , -0.0589 , -0.1668 , 3.2567 , -7.5544
-0.00954 , 0.005334 , -0.013428 , 0.0146 , -0.2027 , 3.3788 , -7.6694
-0.00759 , 0.007795 , -0.012366 , 0.0933 , -0.1176 , 3.5150 , -7.7704
-0.00389 , 0.010967 , -0.009589 , 0.1699 , -0.0289 , 3.6064 , -7.8737
0.00109 , 0.013504 , -0.006654 , 0.2456 , 0.0655 , 3.6839 , -7.9615
0.005 , 0.013211 , -0.004867 , 0.1651 , 0.0979 , 3.7408 , -8.0353
0.00804 , 0.009303 , -0.00406 , 0.0844 , 0.1251 , 3.7812 , -8.1236
0.00721 , 0.006795 , -0.003363 , 0.0026 , 0.1492 , 3.8062 , -8.2146
0.00422 , 0.003796 , -0.005345 , -0.0683 , 0.0328 , 3.8276 , -8.3171
-0.00032 , 0.001714 , -0.009227 , -0.1389 , -0.0850 , 3.8408 , -8.4192
-0.00706 , -0.001005 , -0.013155 , -0.2069 , -0.2041 , 3.8472 , -8.5290
-0.01224 , 7.4E-05 , -0.015317 , -0.1436 , -0.2284 , 3.8437 , -8.6370
-0.01478 , 0.002624 , -0.016167 , -0.0793 , -0.2504 , 3.8221 , -8.7379
-0.01543 , 0.005172 , -0.016911 , -0.0144 , -0.2706 , 3.8022 , -8.8329
-0.01388 , 0.008596 , -0.014814 , 0.0911 , -0.1454 , 4.6962 , -8.7740
-0.00903 , 0.013749 , -0.010765 , 0.1934 , -0.0210 , 5.5810 , -8.7648
-0.00304 , 0.018856 , -0.006724 , 0.2946 , 0.1058 , 6.4560 , -8.8071
0.00224 , 0.017818 , -0.004454 , 0.2173 , 0.1508 , 6.5074 , -9.2414
0.00549 , 0.015425 , -0.003432 , 0.1375 , 0.1944 , 6.5997 , -9.6198
0.00502 , 0.01156 , -0.002409 , 0.0545 , 0.2365 , 6.6995 , -9.9842
0.00153 , 0.008257 , -0.004249 , -0.0384 , 0.1147 , 5.9897 , -9.9001
-0.00455 , 0.004397 , -0.008176 , -0.1308 , -0.0097 , 5.2748 , -9.8153
-0.01105 , -0.000129 , -0.012088 , -0.2223 , -0.1359 , 4.5530 , -9.6940
-0.01695 , -0.000915 , -0.014382 , -0.1693 , -0.1779 , 4.3514 , -9.5127
-0.02018 , 0.001637 , -0.015514 , -0.1166 , -0.2174 , 4.1546 , -9.3401
-0.01877 , 0.00342 , -0.016545 , -0.0652 , -0.2540 , 3.9418 , -9.1548
-0.01662 , 0.00655 , -0.014571 , 0.0435 , -0.1351 , 3.7376 , -8.9814
